mcc,mnc,lac,cid,longitude,latitude,altitude,accuracy,samples
338,0,94,1025,-76.7996194,18.0427333,-1.0,500.0,1
338,0,94,1095,-76.8229769,18.0225186,-1.0,500.0,2
338,0,94,1134,-76.8248939,18.0184733,-1.0,500.0,1
338,0,94,1145,-76.8132761,18.0155183,-1.0,500.0,1
338,0,94,1154,-76.7962144,18.0299294,-1.0,500.0,1
338,0,94,1166,-76.7889706,18.0231706,-1.0,500.0,1
338,0,94,1216,-76.8005467,18.0195606,-1.0,500.0,1
338,0,94,1235,-76.8132652,18.007406,-1.0,500.0,8
338,0,94,1244,-76.8125739,18.0369111,-1.0,500.0,1
338,0,94,1255,-76.8264206,17.9966556,-1.0,500.0,1
338,0,94,1374,-76.8272361,17.9932431,-1.0,500.0,2
338,0,94,1484,-76.7883294,17.976435,-1.0,500.0,1
338,0,94,1565,-76.7945856,18.0162833,-1.0,500.0,1
338,0,94,1734,-76.8201317,18.0226478,-1.0,500.0,1
338,0,94,1816,-76.788995,17.99257,-1.0,500.0,1
338,0,94,1865,-76.809905,18.0079394,-1.0,500.0,1
338,0,94,1914,-76.7716144,18.0091739,-1.0,500.0,1
338,0,94,1956,-76.7981389,17.9717903,-1.0,500.0,2
338,0,94,1965,-76.80135,17.9971133,-1.0,500.0,1
338,0,94,2075,-76.9143922,17.9458278,-1.0,500.0,1
338,0,94,2084,-76.8846194,17.9604111,-1.0,500.0,1
338,0,94,2085,-76.8977108,17.9576349,-1.0,689.0,5
338,0,94,2106,-76.9066983,17.9388994,-1.0,500.0,1
338,0,94,2135,-76.912915,17.9925411,-1.0,500.0,1
338,0,94,2155,-76.9486172,17.9887303,-1.0,500.0,2
338,0,94,2156,-76.9555667,17.9902411,-1.0,500.0,1
338,0,94,2185,-76.9619652,18.0034522,-1.0,500.0,3
338,0,94,2505,-76.4132433,17.8806917,-1.0,500.0,1
338,0,94,2506,-76.4130133,17.8803983,-1.0,500.0,1
338,0,94,2645,-76.5884378,17.92564,-1.0,500.0,1
338,0,94,2815,-77.0990911,17.9103967,-1.0,500.0,1
338,0,94,2956,-76.9792067,18.1276756,-1.0,500.0,1
338,0,94,4225,-77.8985694,18.4715194,-1.0,500.0,1
338,0,94,6066,-77.3708494,18.3797033,-1.0,500.0,1
338,0,94,6505,-76.7614556,18.2728872,-1.0,500.0,1
338,0,94,6595,-77.1024467,18.4070444,-1.0,500.0,1
338,0,94,6816,-77.1678417,18.430425,-1.0,500.0,1
338,0,94,6906,-77.11032,18.4065678,-1.0,500.0,1
338,0,94,8105,-77.6146839,18.1698817,-1.0,500.0,1
338,0,94,8195,-77.3305472,18.1317239,-1.0,500.0,1
338,0,94,8325,-77.2398633,17.9669683,-1.0,500.0,1
338,0,94,8334,-77.265093,17.9858696,-1.0,1160.0,3
338,0,94,8336,-77.26989,17.9770944,-1.0,557.0,2
338,0,94,8414,-77.4592122,18.0701522,-1.0,500.0,2
338,0,94,8425,-77.469205,18.0659972,-1.0,500.0,1
338,0,94,8456,-77.5103192,18.0389214,-1.0,500.0,2
338,0,94,8494,-77.4902844,18.0939539,-1.0,500.0,1
338,0,94,8506,-77.6142489,18.0308683,-1.0,500.0,1
338,0,94,8854,-77.489135,18.0936878,-1.0,500.0,1
338,0,94,8855,-77.4813883,18.0886461,-1.0,500.0,1
338,0,94,9026,-77.2662389,17.9807444,-1.0,500.0,1
338,0,94,9544,-77.2402182,17.9669536,-1.0,500.0,4
338,0,94,9596,-77.2662156,17.980685,-1.0,500.0,1
338,0,94,9706,-77.5183794,17.9797906,-1.0,500.0,2
338,0,94,9755,-77.7159589,17.8997528,-1.0,500.0,1
338,0,101,1004,-76.8176352,18.0505476,-1.0,9699.0,65528
338,0,101,1005,-76.8241337,18.0413625,-1.0,11077.0,42014
338,0,101,1006,-76.838051,18.0520567,-1.0,5740.0,4113
338,0,101,1024,-76.7973881,18.0458898,-1.0,4172.0,70058
338,0,101,1025,-76.8019144,18.0410899,-1.0,4139.0,57947
338,0,101,1026,-76.8085032,18.0476767,-1.0,5055.0,156644
338,0,101,1034,-76.7914702,18.0538589,-1.0,4769.0,29119
338,0,101,1035,-76.7932604,18.0494708,-1.0,3858.0,44627
338,0,101,1036,-76.7943318,18.0506168,-1.0,5326.0,11088
338,0,101,1039,-76.8037855,18.0140192,-1.0,2105.0,7
338,0,101,1044,-76.7809304,18.0506204,-1.0,6566.0,17899
338,0,101,1045,-76.776728,18.0382105,-1.0,8391.0,11706
338,0,101,1046,-76.7869666,18.0421936,-1.0,11067.0,18126
338,0,101,1054,-76.7723596,18.0421857,-1.0,8105.0,5699
338,0,101,1055,-76.7805346,18.0527866,-1.0,6898.0,14465
338,0,101,1056,-76.7891961,18.0505867,-1.0,7930.0,10169
338,0,101,1064,-76.7709113,18.0225741,-1.0,8427.0,53205
338,0,101,1065,-76.7704497,18.0201609,-1.0,8261.0,62769
338,0,101,1066,-76.7868033,18.0321943,-1.0,22330.0,93653
338,0,101,1074,-76.7968442,18.0400614,-1.0,6661.0,148100
338,0,101,1075,-76.7930448,18.0341514,-1.0,5745.0,125012
338,0,101,1076,-76.7998272,18.0353539,-1.0,9565.0,208595
338,0,101,1094,-76.826355,18.0308295,-1.0,6628.0,30227
338,0,101,1095,-76.8234287,18.0234079,-1.0,21581.0,195331
338,0,101,1096,-76.8288638,18.0244659,-1.0,4137.0,20946
338,0,101,1104,-76.8410549,18.0306215,-1.0,10454.0,355406
338,0,101,1105,-76.8362197,18.0204345,-1.0,4420.0,191418
338,0,101,1106,-76.8483764,18.0267153,-1.0,8443.0,270871
338,0,101,1114,-76.8737575,18.0238738,-1.0,14650.0,41122
338,0,101,1115,-76.8962669,18.0126849,-1.0,7411.0,108589
338,0,101,1116,-76.9160817,18.0451343,-1.0,7049.0,5749
338,0,101,1118,-76.7686122,18.0081556,-1.0,500.0,1
